X,X1,X2,X3,Q,Grate,Crate,Prate,DATE
C,G,P,C,0,0.259259259,0.37037037,0.37037037,1992/8/2
G,C,G,P,0,0.291666667,0.291666667,0.416666667,1992/8/9
P,G,C,G,0,0.19047619,0.333333333,0.476190476,1992/8/16
P,P,G,C,0,0.222222222,0.388888889,0.388888889,1992/8/23
C,P,P,G,0,0.266666667,0.466666667,0.266666667,1992/8/30
C,C,P,P,0,0.333333333,0.333333333,0.333333333,1992/9/6
G,C,C,P,0,0.444444444,0.111111111,0.444444444,1992/9/13
P,G,C,C,0,0.166666667,0.166666667,0.666666667,1992/9/20
C,P,G,C,0,0.333333333,0.333333333,0.333333333,1992/9/27
G,C,P,G,1,0.333333333,0.333333333,0.333333333,1992/10/4
C,G,C,P,0,0.277777778,0.361111111,0.361111111,1992/10/11
C,C,G,C,0,0.303030303,0.303030303,0.393939394,1992/10/18
P,C,C,G,0,0.333333333,0.233333333,0.433333333,1992/10/25
G,P,C,C,0,0.37037037,0.259259259,0.37037037,1992/11/1
P,G,P,C,0,0.291666667,0.291666667,0.416666667,1992/11/8
P,P,G,P,0,0.333333333,0.333333333,0.333333333,1992/11/15
C,P,P,G,0,0.388888889,0.388888889,0.222222222,1992/11/22
G,C,P,P,0,0.466666667,0.266666667,0.266666667,1992/11/29
P,G,C,P,0,0.333333333,0.333333333,0.333333333,1992/12/6
G,P,G,C,0,0.444444444,0.444444444,0.111111111,1992/12/13
C,G,P,G,0,0.166666667,0.666666667,0.166666667,1992/12/20
G,C,G,P,0,0.333333333,0.333333333,0.333333333,1992/12/27
P,G,C,G,1,0.333333333,0.333333333,0.333333333,1993/1/3
P,P,G,C,0,0.361111111,0.361111111,0.277777778,1993/1/10
G,P,P,G,0,0.393939394,0.393939394,0.212121212,1993/1/17
C,G,P,P,0,0.333333333,0.433333333,0.233333333,1993/1/24
G,C,G,P,0,0.37037037,0.37037037,0.259259259,1993/1/31
C,G,C,G,0,0.291666667,0.416666667,0.291666667,1993/2/7
G,C,G,C,0,0.333333333,0.333333333,0.333333333,1993/2/14
P,G,C,G,0,0.222222222,0.388888889,0.388888889,1993/2/21
G,P,G,C,0,0.266666667,0.466666667,0.266666667,1993/2/28
G,G,P,G,0,0.083333333,0.583333333,0.333333333,1993/3/7
C,G,G,P,0,-0.222222222,0.777777778,0.444444444,1993/3/14
P,C,G,G,0,-0.333333333,0.666666667,0.666666667,1993/3/21
C,P,C,G,0,-0.666666667,1.333333333,0.333333333,1993/3/28
P,C,P,C,1,0.333333333,0.333333333,0.333333333,1993/4/4
P,P,C,P,0,0.361111111,0.361111111,0.277777778,1993/4/11
G,P,P,C,0,0.393939394,0.393939394,0.212121212,1993/4/18
C,G,P,P,0,0.333333333,0.433333333,0.233333333,1993/4/25
G,C,G,P,0,0.37037037,0.37037037,0.259259259,1993/5/2
C,G,C,G,0,0.291666667,0.416666667,0.291666667,1993/5/9
C,C,G,C,0,0.333333333,0.333333333,0.333333333,1993/5/16
P,C,C,G,0,0.388888889,0.222222222,0.388888889,1993/5/23
P,P,C,C,0,0.466666667,0.266666667,0.266666667,1993/5/30
C,P,P,C,0,0.583333333,0.333333333,0.083333333,1993/6/6
G,C,P,P,0,0.777777778,0.111111111,0.111111111,1993/6/13
G,G,C,P,0,0.666666667,0.166666667,0.166666667,1993/6/20
G,G,G,C,0,0.333333333,0.333333333,0.333333333,1993/6/27
G,G,G,G,1,0.333333333,0.333333333,0.333333333,1993/7/4
